
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
03612;04356;00923;07004;00638;07353;00647;07281;00035;000;01347;007;
03662;04403;00935;07067;00643;07390;00654;07339;00035;000;01391;007;
03712;04477;00951;07202;00655;07563;00664;07496;00035;000;01572;007;
03761;04533;00963;07268;00659;07599;00671;07548;00036;000;01608;007;
03815;04608;00980;07410;00671;07789;00683;07719;00036;000;01650;007;
03872;04665;00992;07485;00677;07822;00689;07780;00036;000;01703;007;
03933;04742;01012;07640;00692;08034;00701;07970;00036;000;01926;007;
03993;04808;01023;07716;00694;08068;00706;08021;00035;000;02007;007;
04052;04896;01041;07887;00711;08295;00726;08232;00035;000;02166;007;
04120;04964;01056;07970;00719;08334;00729;08301;00035;000;02120;007;
04191;05063;01080;08162;00736;08591;00749;08529;00035;000;02382;007;
04262;05147;01095;08252;00741;08637;00755;08605;00035;000;02381;007;
04339;05256;01121;08468;00763;08920;00777;08859;00035;000;02846;007;
04424;05344;01133;08569;00769;08976;00782;08941;00035;000;02874;007;
04515;05467;01166;08807;00796;09291;00810;09224;00035;000;03285;007;
04614;05561;01184;08913;00798;09328;00813;09292;00035;000;03309;007;
04704;05676;01219;09159;00831;09678;00845;09606;00036;000;04157;007;
04815;05779;01236;09278;00836;09733;00854;09701;00035;000;04394;007;
04923;05926;01276;09570;00873;10131;00887;10055;00035;000;05365;007;
05050;06037;01299;09695;00878;10171;00896;10136;00035;000;05621;007;
05150;06196;01336;10015;00914;10614;00931;10541;00035;000;06753;007;
05288;06323;01360;10158;00924;10664;00940;10643;00035;000;07004;007;
05411;06510;01405;10527;00959;11185;00982;11110;00035;000;08252;007;
05572;06651;01437;10684;00968;11191;00987;11156;00036;000;08494;007;
05682;06823;01475;11026;01008;11746;01031;11676;00035;000;09652;007;
05851;06976;01513;11225;01022;11858;01042;11866;00036;000;09916;007;
06047;07263;01572;11753;01071;12564;01101;12493;00035;000;11398;007;
06245;07457;01619;11975;01092;12524;01105;12495;00036;000;11358;007;
06354;07606;01638;12288;01124;13143;01156;13072;00036;000;12630;007;
06539;07805;01708;12560;01152;13329;01172;13368;00036;000;13071;007;
06831;08196;01768;13265;01214;14258;01247;14190;00035;000;00849;000;
07074;08462;01859;13582;01236;14300;01257;14338;00036;000;00832;000;
07314;08790;01891;14191;01300;15310;01335;15248;00035;000;01969;000;
07596;09093;02014;14601;01314;15217;01335;15207;00035;000;01948;000;
07732;09265;02016;15018;01387;16275;01427;16215;00035;000;03067;000;
08058;09661;02139;15514;01402;16179;01421;16200;00036;000;03066;000;
08251;09886;02149;16021;01483;17433;01533;17374;00036;000;04368;000;
08626;10343;02291;16537;01476;16522;01462;16403;00035;000;03333;000;
08391;10017;02179;16233;01516;17657;01566;17598;00036;000;04631;000;
08750;10496;02335;16875;01533;17327;01538;17300;00035;000;04303;000;
08852;10555;02309;17130;01606;18718;01666;18672;00035;000;05795;000;
09272;11125;02473;17797;01590;17577;01563;17426;00036;000;04435;000;
08944;10643;02338;17269;01628;18853;01692;18810;00035;000;05944;000;
09375;11303;02548;18061;01598;17362;01555;17112;00035;000;04111;000;
08806;10460;02312;16953;01608;18332;01653;18274;00036;000;05375;000;
09299;11601;02710;16307;01259;12759;01217;12444;00035;000;12283;007;
06485;07607;01746;12348;01219;13119;01243;13028;00035;000;12837;007;
06707;08092;01862;11834;01039;10301;01006;10069;00035;000;06947;007;
05247;06107;01446;09930;01008;10460;01016;10378;00035;000;07114;007;
05361;06386;01484;09769;00917;09085;00893;08892;00036;000;03810;007;
04629;05418;01253;08749;00892;09184;00897;09102;00035;000;03492;007;
04709;05599;01312;08543;00824;08088;00803;07932;00035;000;01145;007;
04134;04835;01112;07806;00798;08164;00803;08089;00036;000;01601;007;
04196;04982;01162;07621;00740;07210;00719;07060;00035;000;01254;007;
03685;04312;00982;06957;00712;07260;00713;07179;00036;000;00147;007;
03731;04421;01022;06820;00659;06518;00641;06382;00035;000;00594;007;
03314;03912;00876;06292;00644;06545;00641;06469;00036;000;00035;007;
03358;03998;00905;06169;00594;05961;00578;05840;00035;000;00321;007;
03022;03571;00785;05771;00583;05978;00584;05907;00035;000;00346;006;
03062;03656;00809;05668;00548;05470;00540;05362;00035;000;00361;007;
02779;03283;00720;05317;00543;05492;00543;05426;00036;000;05470;005;
02812;03360;00736;05218;00513;05080;00508;05005;00035;000;00392;007;
02595;03058;00667;04952;00513;05109;00514;05050;00036;000;04954;005;
02614;03130;00683;04875;00482;04755;00484;04694;00036;000;00214;007;
02432;02872;00628;04633;00485;04798;00483;04737;00036;000;04354;005;
02445;02920;00632;04598;00459;04515;00466;04464;00036;000;00257;006;
02306;02740;00589;04414;00466;04551;00462;04509;00035;000;04024;005;
02330;02768;00600;04378;00444;04328;00445;04270;00035;000;04309;005;
02215;02616;00567;04221;00448;04363;00446;04306;00035;000;03712;005;
02230;02658;00578;04185;00427;04164;00434;04111;00035;000;04008;005;
02135;02521;00547;04064;00433;04197;00433;04151;00035;000;03499;005;
02143;02556;00560;04047;00414;04026;00424;03995;00035;000;03763;005;
02069;02439;00531;03949;00423;04065;00419;04024;00036;000;03357;005;
02076;02485;00543;03931;00407;03924;00415;03890;00035;000;03518;005;
02015;02378;00525;03847;00412;03958;00408;03921;00035;000;03181;005;
02029;02421;00526;03860;00404;03869;00407;03836;00035;000;03469;005;
01987;02354;00518;03796;00404;03903;00405;03871;00000;000;03172;005;
02003;02382;00519;03798;00399;03806;00400;03776;00000;000;03296;005;
01952;02319;00507;03733;00399;03842;00398;03808;00000;000;03120;005;
01962;02351;00508;03744;00395;03765;00394;03732;00036;000;03234;005;
01932;02300;00500;03693;00393;03797;00394;03767;00035;000;03008;005;
01942;02321;00501;03707;00391;03742;00389;03706;00036;000;03226;005;
01921;02287;00496;03669;00391;03773;00392;03743;00036;000;03074;005;
01930;02305;00498;03687;00390;03736;00388;03699;00000;000;00000;000;
01915;02288;00492;03663;00390;03766;00387;03734;00000;000;00000;000;
01928;02300;00494;03693;00390;03785;00389;03749;00000;000;00000;000;
01938;02314;00496;03719;00392;03817;00391;03782;00000;000;00000;000;
01949;02331;00499;03746;00392;03835;00393;03799;00000;000;00000;000;
01959;02342;00502;03771;00392;03863;00395;03832;00000;000;00000;000;
